,0,1
289,hasalpur,78
290,horiyapipar,65
291,desmohini,65
292,Sonpur,83
293,gwadikhurd,65
294,randhal,65
295,khedla,65
296,mahraghat,65
297,roopapur,65
298,sonasawnri,65
299,kandai khurd,65
300,lohariya kala,65
301,somalwada,70
302,bortalai,65
303,dudugaon,65
304,bairakhedi,65
305,jaitapur,65
306,mungwari,65
307,ghugwasa,65
308,beesaroda,65
309,baiganiya,65
310,bhadangchikli,70
311,hasalpur,65
312,naharkola kala,70
313,dongarwada,65
314,khediahir,65
315,parradeh,65
316,bundara kala,70
317,chandwad,70
318,pathoudi,65
319,kahariya,70
320,bhamedideo,70
321,kotlakhedi,70
322,nandarwada,70
323,narri,70
324,datwasa,70
325,jijalwada,70
326,pipalgota,70
327,malapat,70
328,bundara,65
329,rojhda,65
330,patlai,65
331,dhamni,70
332,bhela,70
333,ward no 01,78
334,bhiladiya khurd,70
335,ward no 02,78
336,hardoli_2,78
337,ward no 04,78
338,gajanpur,70
339,khal,70
340,damadiya,70
341,sotachikli,70
342,nimanpur,70
343,rajorajat,70
344,ghoghra_k,70
345,kharda,70
346,myaungaon,70
347,borat,70
348,basaniya keer,70
349,pathada,70
350,khutwasa,70
351,lodhdi kala,70
352,bhainsadeh,70
353,banada,70
354,chabora,70
355,dimawar,70
356,bhamedi,70
357,umariya,70
358,bhimgaon,70
359,ward no 14,78
360,ward no 15,78
361,ward no 17,78
362,guradiya,70
363,ward no 03,78
364,ward no 05,78
365,ward no 06,78
366,ayepa,70
367,rupadeh,70
368,ward no 07,78
369,ward no 08,78
370,ward no 11,78
371,amlada dongar,70
372,bisoni kala,70
373,bisoni khurd,70
374,rampura,70
375,babri,70
376,bhaironpur,70
377,choukigava,70
378,ravanpipal,70
379,babadiya bhau,70
380,pagdhal,70
381,jeeradeh,70
382,rehda,70
383,keolajhir,70
384,dethi,70
385,jhaklay,70
386,thua,70
387,kusumkui,70
388,golgaon,70
389,shivpur,70
390,luchgaon,70
391,papan,70
392,archanagaon,70
393,richhi,70
394,shahpur,70
395,choukimafi,70
396,faridpur,70
397,amlada khurd,70
398,amlada kala,70
399,ramgarh,70
400,Dharpura,69
401,lokhartalai,70
402,pipalthone,70
403,pipaliya kala,70
404,Devri_1,69
405,babadiya bapu,70
406,mahuadhana,70
407,kanskhedi,70
408,nawalgaon,70
409,surajpur,70
410,bankabedi,70
411,mohanpur,70
412,bharlay,70
413,basaniya kala,70
414,barakhad khurd,70
415,Chadaun,69
416,Ghungawadi,69
417,Kudari,69
418,sirupura,70
419,morghat,70
420,beganiya,70
421,barasel,70
422,temlakala,70
423,jambada,78
424,somlapur,78
425,ranidongari,78
426,semariyakhurd,78
427,ward no 04,70
428,tugariya,65
429,banspani,70
430,salai,70
431,jatamau,70
432,kharar,70
433,dhamasa,70
434,uradi,70
435,dahedi,70
436,manwada,70
437,dhamaniya,70
438,dhekna,70
439,barakhad kala,70
440,nohar,65
441,jhinganpur,70
442,ward no 02,70
443,ward no 03,70
444,palasdoh,65
445,suparli,65
446,Bothiya_1,81
447,Turakhapa,67
448,Gohnadeh Mal,67
449,Vıneka,67
450,Nander,67
451,BandhıChhor Pıparıya,67
452,Sukrıkalan,67
453,bhopalwadi,78
454,dodawani,78
455,LALPANI / CHICHWANI,71
456,Manakwada,69
457,Gundraı,67
458,Samnapur,67
459,Godıkhedı Madkadhana,67
460,Gohnadeh raıyat,67
461,Chıtto Pattan,67
462,Chargaon,67
463,Chargaon,69
464,Bhajıyadhana,67
465,Jıjwada,67
466,kutkhedi,78
467,NAYAKHEDA,71
468,Shobhapur AW 03,67
469,Shobhapur AW 05,67
470,Shobhapur AW 06,67
471,Galcha,67
472,Khamkhedi,69
473,Kolwa,74
474,Chirakhan,74
475,Uchan,74
476,Bhimpura,75
477,MAINDA,74
478,ward no 05,70
479,hardoli_1,78
480,Ward 6,73
481,Ward 7,73
482,Ward 8,73
483,Ward 9,73
484,Sonori,84
485,sontalai,78
486,maholi,78
487,Ward 15,73
488,Ward 14,73
489,Ward 16,73
490,jambadakhurd,78
491,ward no 13,78
492,badodiyakala,65
493,Maidakheda,69
494,Undhal,74
495,Saliya khedi,74
496,ward no 16,78
497,Devri_2,69
498,Kakarda,74
499,semariya joshi,78
500,harsool,70
501,rohna,65
502,Nayapura,74
503,Bhimpura,74
504,CHHITAPURA,71
505,rampur,85
506,rohna,85
507,BHATNA,71
508,ward no. 2,89
509,harpalpur,70
510,SADHPURA,71
511,jamani,70
512,KHOHRA,71
513,Segone,74
514,Sagoda,74
515,Mangrul,74
516,Rijgaon,74
517,Bheropur,74
518,Adampur,74
519,Kunjargaon,74
520,Handia,74
521,Dheki,74
522,Beswa,74
523,Joga Vangram,74
524,Kolipura,74
525,Nandra,74
526,Gogiya,74
527,Gangiya khedi,74
528,Ghodakund,74
529,Abgaonkala,74
530,ward no. 13,89
531,Pathakheda,83
532,Niwari,83
533,ward no. 19,89
