,0,1
310,bhayawadi 1,40
311,patadhana ,36
312,manakdand,36
313,gaula2,38
314,semaldhana,36
315,kechudhana,36
316,gaula1,38
317,jamgav,38
318,kanha khapa,38
319,pateldhana ,36
320,harravangram,36
321,anhoni,21
322,bindakheda,21
323,bornathakur,21
324,chandan pipariya,21
325,chandan pipariya,21
326,churka,21
327,dapka,21
328,dhargaw,21
329,dokrikheda,21
330,ghoghri,21
331,hathnikhapa,21
332,bhayawadi 2,40
333,jhiriya,21
334,bhayawadi 3,40
335,kursikhapa,21
336,mailipathai,21
337,matkuli_1,21
338,matkuli_3,21
339,mohgaw-1,21
340,deshawadi 1,40
341,bihargaov 2,39
342,dohlan,39
343,deshawadi 2,40
344,sangai,21
345,simara,21
346,deshawadi 3,40
347,deshawadi 4,40
348,suaakhapa,21
349,baretha 1,40
350,baretha 2,40
351,matkuli_2,21
352,chikhldakhurd,40
353,mohgaw tola-2,21
354,muharikala,21
355,muharikhurd,21
356,naankot,21
357,pisuaa,21
358,samnapur,21
359,eklahra ,39
360,simara tola,21
361,malisilpati,40
362,mokharaiyat ,40
363,mokhamal,40
364,motidhana ,40
365,palaspani 2,40
366,palaspani 1,40
367,patowapura ,40
368,shahpur 1,40
369,shahpur 2,40
370,shahpur 3,40
371,bagholibujurg,38
372,jileribuddi mini aganvadi,40
373,bandiyakhapa,38
374,barkhed1,38
375,barkhed2,38
376,dahua1,38
377,dahua3,38
378,dahua2,38
379,aazad ward pipariya,21
380,ambedkar ward pipariya,21
381,dob,38
382,ashok ward pipariya,21
383,hatnapur,38
384,bhagatsingh ward pipariya,21
385,andhiyar babdi_bankhedi,22
386,hiwra,38
387,vinoba ward pipariya,21
388,gandhi ward_1 pipariya,21
389,jam 1,38
390,gandhi ward_2 pipariya,21
391,bachawani-2_bankhedi,22
392,indra gandhi ward pipariya,21
393,jakir husain ward pipariya,21
394,jam 2,38
395,jaiprakash ward pipariya,21
396,kasturwa ward_1 pipariya,21
397,kasturwa ward_2 pipariya,21
398,kapasiya,38
399,lohiya ward_1 pipariya,21
400,lohiya ward_2 pipariya,21
401,maharana_1 pipariya,21
402,lakhapur,38
403,khairwani,38
404,bachawani-1_bankhedi,22
405,maharana_pratap ward _2 pipariya,21
406,bankhedi-2_bankhedi,22
407,nandbohi,38
408,bankhedi-6_bankhedi,22
409,rajeev gandhi ward_1 pipariya,21
410,rajeev gandhi ward_2 pipariya,21
411,bankhedi ward-07_bankhedi,22
412,parbiroli,38
413,shastri ward pipariya,21
414,semriya,38
415,whi whi giri ward _2 pipariya,21
416,bankhedi-4_bankhedi,22
417,lendagondi,38
418,nehru  ward pipariya,21
419,bankhedi-5_bankhedi,22
420,radhkrishna  ward pipariya,21
421,rajendra ward_1 pipariya,21
422,pandhri,38
423,bankhedi-1_bankhedi,22
424,rajendra ward_2 pipariya,21
425,sardar ward_1 pipariya,21
426,sardar ward_2 pipariya,21
427,sardar ward_3 pipariya,21
428,pipariya,38
429,sawanga,38
430,tilak ward pipariya,21
431,sawari,38
432,whi whi giri ward _1 pipariya,21
433,siladehi,38
434,dahargav,38
435,jamundhana,38
436,bankhedi ward-09_bankhedi,22
